playing ...
opening file 'op87_07b.mid'...
49058.688 track1 69 1;
49208.688 track1 69 0;
0.0 track2 57 0;
49208.688 track1 73 1;
0.0 track2 52 1;
49358.688 track1 73 0;
0.0 track2 52 0;
49358.688 track1 74 1;
0.0 track2 54 1;
49508.688 track2 54 0;
49508.688 track2 62 1;
49658.688 track2 62 0;
49658.688 track2 57 1;
49808.688 track1 74 0;
49808.688 track1 78 1;
49958.688 track1 78 0;
49958.688 track1 73 1;
50108.688 track2 57 0;
50108.688 track2 64 1;
50258.688 track2 64 0;
50258.688 track2 57 1;
50408.688 track1 73 0;
50408.688 track1 69 1;
50558.688 track1 69 0;
50558.688 track1 72 1;
50708.688 track2 57 0;
50708.688 track2 64 1;
50858.688 track2 64 0;
50858.688 track2 65 1;
51008.688 track1 72 0;
51008.688 track1 69 1;
51158.688 track1 69 0;
51158.688 track1 70 1;
51308.688 track2 65 0;
51308.688 track2 62 1;
51458.688 track1 70 0;
51458.688 track1 65 1;
51608.688 track1 65 0;
51608.688 track1 70 1;
51758.688 track1 70 0;
51758.688 track1 69 1;
51908.688 track2 62 0;
51908.688 track2 57 1;
52058.688 track2 57 0;
52058.688 track2 60 1;
52208.688 track1 69 0;
52208.688 track1 65 1;
52358.688 track1 65 0;
52358.688 track1 72 1;
52508.688 track2 60 0;
52508.688 track2 57 1;
52658.688 track2 57 0;
52658.688 track2 65 1;
52808.688 track1 72 0;
52808.688 track1 69 1;
52958.688 track1 69 0;
52958.688 track1 72 1;
53108.688 track2 65 0;
53108.688 track2 69 1;
53258.688 track2 69 0;
53258.688 track1 72 0;
0.0 track2 72 1;
53258.688 track1 81 1;
53408.688 track1 81 0;
53408.688 track1 77 1;
53558.688 track2 72 0;
53558.688 track1 77 0;
0.0 track2 69 1;
53558.688 track1 72 1;
53708.688 track2 69 0;
53708.688 track2 65 1;
53858.688 track1 72 0;
0.0 track2 65 0;
53858.688 track1 70 1;
0.0 track2 67 1;
54008.688 track1 70 0;
54008.688 track1 74 1;
54158.688 track1 74 0;
0.0 track2 67 0;
54158.688 track1 69 1;
0.0 track2 65 1;
54308.688 track2 65 0;
54308.688 track2 62 1;
54458.688 track1 69 0;
0.0 track2 62 0;
54458.688 track1 67 1;
0.0 track2 64 1;
54608.688 track1 67 0;
54608.688 track1 72 1;
54758.688 track1 72 0;
0.0 track2 64 0;
54758.688 track1 65 1;
0.0 track2 62 1;
54908.688 track1 65 0;
54908.688 track1 70 1;
55058.688 track1 70 0;
0.0 track2 62 0;
55058.688 track1 67 1;
0.0 track2 64 1;
55208.688 track2 64 0;
55208.688 track2 60 1;
55358.688 track1 67 0;
0.0 track2 60 0;
55358.688 track1 69 1;
0.0 track2 65 1;
55508.688 track1 69 0;
55508.688 track1 72 1;
55658.688 track1 72 0;
55658.688 track1 77 1;
55808.688 track2 65 0;
55808.688 track2 60 1;
55958.688 track2 60 0;
55958.688 track1 77 0;
55958.688 track1 65 1;
56108.688 track1 65 0;
0.0 track2 60 1;
56108.688 track1 69 1;
56258.688 track1 69 0;
