playing ...
opening file 'bwv807a.mid'...
27.7778 track1 64 1;
0.0 track2 48 1;
111.1112 track1 64 0;
0.0 track2 48 0;
27.7778 track1 62 1;
0.0 track2 46 1;
111.1112 track2 46 0;
0.0 track1 62 0;
27.7778 track1 64 1;
0.0 track2 48 1;
111.1112 track1 64 0;
0.0 track2 48 0;
27.7778 track2 36 1;
0.0 track1 70 1;
111.1112 track1 70 0;
0.0 track2 36 0;
27.7778 track2 41 1;
138.889 track1 67 1;
83.3334 track2 41 0;
27.7778 track1 67 0;
27.7778 track1 65 1;
0.0 track2 45 1;
111.1112 track1 65 0;
27.7778 track1 64 1;
83.3334 track2 45 0;
27.7778 track1 64 0;
27.7778 track2 38 1;
0.0 track1 65 1;
111.1112 track1 65 0;
27.7778 track1 64 1;
83.3334 track2 38 0;
27.7778 track1 64 0;
27.7778 track2 50 1;
0.0 track1 65 1;
111.1112 track1 65 0;
20.83335 track2 50 0;
6.94445 track1 69 1;
0.0 track2 48 1;
111.1112 track1 69 0;
20.83335 track2 48 0;
6.94445000001 track2 47 1;
0.0 track1 68 1;
111.1112 track1 68 0;
20.83335 track2 47 0;
6.94445 track1 71 1;
0.0 track2 44 1;
111.1112 track1 71 0;
20.83335 track2 44 0;
6.94445 track2 45 1;
0.0 track1 69 1;
111.1112 track1 69 0;
20.83335 track2 45 0;
6.94445 track2 42 1;
0.0 track1 72 1;
111.1112 track1 72 0;
20.83335 track2 42 0;
6.94445 track1 71 1;
0.0 track2 44 1;
111.1112 track1 71 0;
27.7778 track1 72 1;
111.1112 track1 72 0;
27.7778 track1 74 1;
111.1112 track1 74 0;
27.7778 track1 71 1;
27.7778 track2 44 0;
83.3334 track1 71 0;
27.7778 track1 68 1;
111.1112 track1 68 0;
27.7778 track1 64 1;
111.1112 track1 64 0;
27.7778 track1 65 1;
0.0 track2 47 1;
111.1112 track1 65 0;
27.7778 track1 62 1;
111.1112 track1 62 0;
27.7778 track2 47 0;
0.0 track1 64 1;
0.0 track2 44 1;
111.1112 track1 64 0;
27.7778 track1 60 1;
111.1112 track1 60 0;
27.7778 track1 62 1;
0.0 track2 44 0;
0.0 track2 40 1;
111.1112 track1 62 0;
27.7778 track1 59 1;
111.1112 track1 59 0;
27.7778 track1 60 1;
0.0 track2 40 0;
0.0 track2 45 1;
111.1112 track1 60 0;
27.7778 track1 64 1;
111.1112 track1 64 0;
27.7778 track1 69 1;
111.1112 track1 69 0;
27.7778 track1 68 1;
27.7778 track2 45 0;
83.3334 track1 68 0;
27.7778 track1 69 1;
111.1112 track1 69 0;
27.7778 track1 62 1;
111.1112 track1 62 0;
27.7778 track2 48 1;
0.0 track1 64 1;
111.1112 track1 64 0;
27.7778 track1 60 1;
83.3334 track2 48 0;
27.7778 track1 60 0;
27.7778 track2 47 1;
0.0 track1 62 1;
111.1112 track1 62 0;
27.7778 track1 59 1;
83.3334 track2 47 0;
27.7778 track1 59 0;
27.7778 track2 45 1;
0.0 track1 60 1;
111.1112 track1 60 0;
27.7778 track1 57 1;
83.3334 track2 45 0;
27.7778 track1 57 0;
27.7778 track1 56 1;
0.0 track2 52 1;
111.1112 track1 56 0;
27.7778 track1 64 1;
111.1112 track1 64 0;
27.7778 track1 71 1;
111.1112 track1 71 0;
27.7778 track1 69 1;
27.7778 track2 52 0;
83.3334 track1 69 0;
27.7778 track1 71 1;
111.1112 track1 71 0;
27.7778 track1 64 1;
111.1112 track1 64 0;
27.7778 track1 65 1;
0.0 track2 52 1;
111.1112 track1 65 0;
27.7778 track1 62 1;
83.3334 track2 52 0;
27.7778 track1 62 0;
27.7778 track2 54 1;
0.0 track1 64 1;
111.1112 track1 64 0;
27.7778 track1 60 1;
83.3334 track2 54 0;
27.7778 track1 60 0;
27.7778 track2 56 1;
0.0 track1 62 1;
111.1112 track1 62 0;
27.7778 track1 59 1;
83.3334 track2 56 0;
27.7778 track1 59 0;
27.7778 track1 60 1;
0.0 track2 57 1;
111.1112 track1 60 0;
27.7778 track1 62 1;
111.1112 track1 62 0;
27.7778 track1 64 1;
55.5556 track2 57 0;
55.5556 track1 64 0;
27.7778 track1 59 1;
0.0 track2 56 1;
111.1112 track1 59 0;
0.0 track2 56 0;
27.7778 track2 57 1;
0.0 track1 60 1;
111.1112 track2 57 0;
27.7778 track2 52 1;
83.3334 track1 60 0;
27.7778 track2 52 0;
27.7778 track1 62 1;
0.0 track2 53 1;
111.1112 track2 53 0;
27.7778 track2 50 1;
83.3334 track1 62 0;
27.7778 track2 50 0;
27.7778 track1 60 1;
0.0 track2 52 1;
111.1112 track2 52 0;
27.7778 track2 48 1;
83.3334 track1 60 0;
27.7778 track2 48 0;
27.7778 track2 50 1;
0.0 track1 59 1;
111.1112 track2 50 0;
27.7778 track2 47 1;
83.3334 track1 59 0;
27.7778 track2 47 0;
27.7778 track1 57 1;
0.0 track2 48 1;
111.1112 track2 48 0;
0.0 track1 57 0;
27.7778 track2 50 1;
0.0 track1 59 1;
111.1112 track1 59 0;
0.0 track2 50 0;
27.7778 track1 60 1;
0.0 track2 52 1;
111.1112 track2 52 0;
0.0 track1 60 0;
27.7778 track2 47 1;
0.0 track1 56 1;
111.1112 track1 56 0;
0.0 track2 47 0;
27.7778 track2 48 1;
0.0 track1 57 1;
111.1112 track1 57 0;
27.7778 track1 52 1;
83.3334 track2 48 0;
27.7778 track1 52 0;
27.7778 track2 50 1;
0.0 track1 53 1;
111.1112 track1 53 0;
27.7778 track1 59 1;
83.3334 track2 50 0;
27.7778 track1 59 0;
27.7778 track1 52 1;
0.0 track2 48 1;
111.1112 track1 52 0;
27.7778 track1 57 1;
83.3334 track2 48 0;
27.7778 track1 57 0;
27.7778 track1 50 1;
0.0 track2 47 1;
111.1112 track1 50 0;
